제목	본문요약
스코틀랜드 길모어 코로나 감염...유로2020 비상	잉글랜드와 스코틀랜드는 19일  조별리그 D조 2차전을 치러서다. 이 경기에서 길모어는 선발 출전해 76분을 뛰었다. 길모어는 유럽축구연맹(UEFA) 선정 최우수선수에 뽑혔다. 마운트는 풀타임을 뛰었고 칠웰은...
호날두 월드컵+유로 넘사벽 역사, 역대 메이저대회 최다골	이번 은 절정 그 자체다. 그는 조별리그에서만 5골을 넣으며, 역대 메이저 대회 최고 성적을 기록 중이다. 호날두가 아직 살아 있음을 증명하고 있다. 이제 생애 첫 메이저 대회 골든볼(득점왕)은 물론 알리...
[사진] 유로2020에 뜬 포용의 무지개	유럽축구선수권대회에 화사한 무지개가 피어올랐다. 무지개는 독일과 헝가리가 F조 조별리그 최종전을 벌인 24일(한국시각) 독일 뮌헨 알리안츠 아레나의 그라운드와 관중석, 그리고 독일의 다른 경기장 (사진...
'에릭센을 위해' 덴마크, 유로 2020 극적 16강 진출	지난 13일 핀란드와  1차전에서 의식을 잃고 쓰러졌던 에릭센은 심장 제세동기 삽입 수술 후 훈련장을 찾아 분위기가 처진 동료들을 격려했다. 러시아와 마지막 3차전을 앞둔 덴마크 선수단에게 최고의...
음바페·바란 이적설에 입 연 페레스..."유로 끝나고"	이 끝나고 팀에 복귀한다면 그때 대화할 예정이다. 그의 계약은 내년까지이고, 아직 타 구단으로부터 아무런 제안도 받지 못했다”라고 밝혔다. 이어 "바란은 신사이다. 팀에 남기를 원하든 떠나길 원하든지 간에...
[오피셜]유로2020 16강팀 전부 가려졌다, 빅매치 성사-잉글랜드vs독일 16강 충돌	16강 진출팀이 모두 가렸다. 뜨거웠던 조별리그 대결은 끝났고, 희비가 갈렸다. F조에서 프랑스, 독일, 포르투갈 우승 후보 3팀이 전부 조별리그를 통과했다. 24일(한국시각) 포르투갈과 2대2로 비긴 프랑스가...
에릭센 응원 효과? 덴마크, 극적으로 유로 16강 진출	유럽축구선수권대회() 대회 첫 경기에서 크리스티안 에릭센이 쓰러지는 악재를 겪은 덴마크가 조별리그 최종전에서 러시아를 완파하고 극적으로 16강에 합류했다. 덴마크는 22일(한국시간) 덴마크 코펜하겐의...
모드리치, 호날두와 ‘유이’ 우뚝…유로 2008·2020 득점	크로아티아는 23일 스코틀랜드 글래스고우 햄던 파크에서 열린  D조 3차전에서 모드리치의 1골·1도움 활약을 앞세워 3-1 승리를 거뒀다. 크로아티아는 1승1무1패, 조 2위로 16강 진출에 성공했다. 모드리치의...
압도적 우세? 이변?…이탈리아-오스트리아 승자는 누가될까[유로2020]	이탈리아와 오스트리아는 27일 오전 4시 런던의 웸블리스타디움에 유럽축구연맹(UEFA)  16강전을 치른다. 이탈리아는 예선 3경기에서 전승을 거두고 조 1위로 여유롭게 16강에 올랐다. 7득점을 한 반면 실점은 단...
[유로 RECORD] '캉테 아니네'...유로 조별리그 활동량 1위는 누구?	UEFA 유럽축구선수권대회() 조별리그에서 활동량이 가장 많은 선수는 누구일까. 최근 현대 축구에서 강조되고 있는 것이 강철 같은 체력이다. 대부분의 감독들이 압박을 중시하기 때문이다. 맹목적으로...
잉글랜드-독일, 벨기에-포르투갈전 ‘빅매치’ 수두룩…유로2020 16강 확정	치열한 공방전 끝에 유럽축구선수권대회() 16강이 가려졌다. 24일 벌어진 E조와 F조의 경기를 끝으로 조별리그가 모두 끝났다. 이변은 없었다. 대회 전 우승 후보로 꼽혔던 팀 대부분은 무난히 16강에 올랐다....
이제는 단판승부… 유로2020 16강은 '우승 후보 빅매치'	유럽 최고의 축구 축제  16강 진출팀이 모두 결정됐다. 지난 12일(한국시각) 이탈리아와 터키의 개막전으로 막을 올린  조별라운드는 24일 프랑스, 독일, 포르투갈, 헝가리가 속한 F조 3차전이...
헝가리, 유로2020서 '성소수자 연대 이벤트' 뮌헨에 반발	앞서 헝가리-독일전이 열리는 뮌헨의 시의회는 경기 당일인 23일 알리안츠 아레나 축구장의 외벽을 무지개 조명으로 비추겠다며 을 주최하는 유럽축구연맹(UEFA)에 승인을 요청하고 결과를 기다리고 있다. 뮌헨...
해외 도박사들이 내다본 유로 16강 웨일스-덴마크 승자는?	웨일스와 덴마크는 27일(이하 한국시간) 오전 1시 암스테르담의 요한 크라위프 아레나에서 유럽축구연맹(UEFA)  16강전을 치른다. 덴마크는 에이스 에릭센이 불의의 부상으로 빠진 상황에서 조별 최종전에서...
‘빈공’ 잉글랜드, 조별리그 2골 넣고 유로2020 16강	잉글랜드 축구 대표팀이  조별리그 3경기에서 두 골에 그치고도 16강에 진출했다. 잉글랜드는 23일(한국시간) 영국 런던 웸블리 스타디움에서 열린  D조 3차전에서 전반 12분 터진 라힘 스털링...
[유로2020 E조 리뷰] '2승 1무' 스웨덴...'드디어 터진' 스페인	폴란드의  여정은 승점 1점으로 끝났다. 폴란드는 매치데이 1, 슬로바키아를 상대로 패했다. 매치데이 2에서 스페인을 상대로 동점골을 기록하며 얻능 승점 1점으로 16강을 향한 불씨를 살렸다. 하지만...
잉글랜드 vs 독일, 유로2020 16강 빅뱅	27일부터 30일까지 16강전…우승 후보 꼽힌 팀 모두 진출 - 호날두 A매치 최다 골 타이‘혈투’ 끝에 2020 유럽축구선수권대회() 16강 대진표가 완성됐다. 잉글랜드와 독일, 벨기에와 포르투갈 등 빅매치가...
[유로 기록실] 'EPL 우승자' 맨시티, 유로에선 어떨까?	24일 경기를 끝으로 조별리그를 마친 . 과연 국가대표에서 활약 중인 선수들 중 맨시티 선수들은 어떤 활약을 펼치고 있을까? '날렵한' 이미지와는 다르게 맨시티 선수들 역시 첼시와 다를 바 없이 수비진에서...
잉글랜드, '빈공' 이유→세트피스 코치의 이직 [유로2020]	미러는 24일(이하 한국시각) 잉글랜드가  16강전에서 독일을 상대하게 됐다는 소식을 전했다. 이와 함께 사우스게이트 잉글랜드 감독의 선발 라인업에 변화가 있을 것이라고 전망했다. 핵심은 '세트피스'다. 미러는...
독일, 포르투갈 꺾고 유로2020 첫 승	독일이 포르투갈을 꺾고 2020 유럽축구선수권대회() 첫 승을 올렸다. 독일은 20일(한국시각) 독일 뮌헨 알리안츠 아레나에서 열린 대회 조별리그 F조 2차전 포르투갈전에서 4-2 역전승을 거뒀다. 이번 경기는 '미리...
2021년에 벌어진 ‘유로2020’에 숨은 경제학	팬데믹은 여전히 진행 중이지만 유럽의 미니월드컵인 은 취소되지 않고 보첼리의 무대를 신호로 공식적으로 시작됐다. 보통 유로는 한 국가 내에서, 혹은 이웃한 두 국가에 걸쳐서 개최돼 왔다. 이번...
유로 3경기 ‘0골 0도움’… ‘손흥민’ 없으니 해리 케인도 평범 그 자체	에서 잉글랜드 대표팀의 에이스 해리 케인이 부진하자 손흥민이 필요하다는 보도가 이어지고 있다. 잉글랜드 대표팀은 지난 24일(한국시각) 마무리된  조별라운드에서 2승1무를 거둬 D조 1위로 16강에...
쏟아지는 골과 변수, '꿀잼' 유로의 귀환	소극적인 경기가 이어졌던 지난 대회와 달리 은 축구팬들의 기대를 충족시키는 화끈한 싸움으로 가득하다. 12일(한국시간) 이탈리아와 터키의 경기를 시작으로 개막한 은 24일 F조 최종전을 끝으로...
크로스부터 음바페까지, 유로2020은 호날두 친목의 장	크리스티아누 호날두(포르투갈)가  대회에서 옛 동료들과 친목을 다지고 있다. 이번  대회의 포르투갈의 경기가 끝나면 중계 카메라는 무조건 호날두의 얼굴을 비췄다. 그가 조별리그 세 경기에서 모두 골을...
英, 신규 확진 1.1만명에도 유로 2020 6만명 입장 허용	이런 상황에서 영국 정부는 런던 웸블리 스타디움에서 열리는 2020 유럽축구선수권대회() 준결승과 결승전에 관중 수용 인원을 6만명까지 허용하겠다고 발표했다. 경기를 관람하기 위해서는 코로나19 음성...
[지구촌 포토] 유로 2020 독일-헝가리전, 무지갯빛으로 물들어	
유로 결승전 열리는 英, 신규확진 1만6천명대로 '껑충'	[리포트] 다음달  결승전이 열리는 런던 웸블리 스타디움입니다. 응원 열기에 곳곳마다 축구팬들로 가득합니다. 현지시간 23일, 영국은 코로나 확진자가 만6000명에 달했습니다. 지난 2월 이후 가장 많은...
[사진톡톡] 델타변이 무색한 유로 2020…런던 거리응원 열기	최윤정 특파원 = 2020 유럽축구선수권대회() 열기에 영국 런던 시내는 신종 코로나바이러스 감염증(코로나19)이 사라진 듯한 분위기로 달아올랐습니다. 18일(현지시간)  조별리그 D조 2차전을 앞두고 런던...
[코로나19 국제뉴스] WHO, ‘유로 2020’ 개최 도시 코로나 완화 조치에 우려	코로나 19로 1년 연기됐던 유럽축구선수권대회, 경기가 현재 유럽 11개 나라 주요 도시에서 분산 개최되고 있는데요. 그런데 일부 개최도시들이 경기장 관중 입장 제한 등을 대폭 완화하자 세계보건기구 WHO가...
잉글랜드 VS 독일, 포르투갈 VS 벨기에 '빅뱅' [유로 2020 16강 대진]	이 23일(현지시간) 조별리그를 마친 가운데 16강이 최정 확정됐다. 이날 독일과 헝가리의 F조 3차전이 뮌헨에서 열린 가운데, 베를린의 올림픽경기장이 무지개빛 조명으로 장식돼 있다. 애초 독일은 뮌헨...
키미히 "러시아월드컵에 이어 또 탈락할까 봐" [유로2020]	독일 대표팀은 24일(한국시각) 독일 뮌헨의 알리안츠 아레나에서 열린 UEFA  F조 조별 리그 최종전 헝가리와의 경기에서 간신히 2-2로 비겼다. 1승 1무 1패(승점 4점)가 된 독일은 같은 시간 벌어진 포르투갈과...
'역시 UCL 우승팀'...첼시, 유로 16강에 소속 선수만 16명 배출	UEFA 유럽축구선수권대회() 16강 대진이 정해졌다. 3전 전승으로 B조 1위를 차지한 벨기에가 F조 3위 포르투갈을 만난다. 유력 우승후보로 점쳐지는 이탈리아는 다크호스 오스트리아와 8강 티켓을 두고 맞대결을...
2087일 만에 복귀 신고...'벤태식' 벤제마가 돌아왔다 [유로2020]	벤제마는 24일(한국시각) 부다페스트에서 열린 UEFA  F조 최종전 포르투갈과 프랑스의 경기에 최전방 공격수로 선발 출장했다. 벤제마는 이날 전반 추가시간 페널티킥 득점과 후반 2분 역전 골로 멀티 골을...
'모드리치 1골 1AS' 크로아티아, 스코틀랜드 꺾고 유로2020 16강 합류	크로아티아가 스코틀랜드를 완파하고  16강에 합류했다. 크로아티아는 23일 오전(한국시간) 영국 글레스고에서 열린 스코틀랜드와의  D조 3차전에서 3-1로 이겼다. 크로아티아는 이날 승리로  첫...
‘오스트리아가 해냈다!’…우크라이나 꺾고 16강 진출 [유로2020]	오스트리아는 22일 오전 1시(한국시간) 루마니아 부쿠레슈티의 부쿠레슈티 국립 경기장에서 펼쳐진  C조 조별 예선 3차전에서 우크라이나를 상대로 1-0 승리를 거뒀다. 오스트리아는 조 2위를 차지하며 16강 진출...
동료들의 눈은 달랐다...'수상 논란' 잠재운 KDB의 대활약 [유로2020]	그는 /21시즌 도중에 부상으로 25경기 출장에 그쳤고 6경기 12도움을 기록했지만, 동료들의 지지를 2년... 하지만 데 브라이너는  무대에서 스스로 자신의 가치를 입증했다. 특히 UEFA 챔피언스리그 결승전에서 안면...
유로 2020 난데없는 '자책골 풍년'...최악의 자책골은 '엘리웁 덩크'	은 자책골이 풍년이다. 축구 통계 매체 '트랜스퍼마크트'는 25일(한국시간) 이번 에 등장한 황당한 기록을 공개했다. 바로 자책골에 대한 통계였는데, 이번 대회에서만 벌써 자책골이 8번이나 나왔다. 이는...
‘제가 루카쿠입니다’ 벨기에, 핀란드 상대로 2-0 승리…조 1위 확정 [유로2020]	벨기에는 22일 오전 4시(한국시간) 러시아 상트페테르부르크의 상트페테르부르크 스타디움에서 펼쳐진  B조 조별예선 3차전에서 핀란드를 상대로 2-0 승리를 거뒀다. 이미 16강 진출을 확정 지은 벨기에는 이 승리로...
유로 2020 준결승·결승전 열리는 웸블리 스타디움	영국에서 델라 변이 바이러스 유입으로 코로나19 신규 확진자와 사망자가 늘어나고 있는 가운데 영국 정부가  준결승과 결승전에서 6만명까지 관중 입장을 허용하겠다고 밝혔다. 사진은 지난 9일 촬영한 런던...
힌트 준 페페, 무시한 파트리시오...램파드의 반응은 [유로2020]	"말 좀 듣지 그랬어!" 포르투갈과 프랑스는 24일(한국시각) 헝가리 부다페스트에서 열린 UEFA  F조 최종전에서 2-2로 비겼다. 승점 1점을 나누어 가진 양 팀 모두 16강에 진출했다. 두 팀은 이번 맞대결에서 한 차례씩...
[오피셜]'잘하는 건 인정' 5골 몰아친 호날두 유로2020 페덱스 선수랭킹 첫 1위 등극	포르투갈 축구 스타 크리스티아누 호날두(36·유벤투스)가  본선 페덱스 퍼포먼스존 랭킹 1위를 달렸다. 이번 대회 시작 이후 첫 1위 등극이다. 유럽축구연맹(UEFA)는 이번 유로 본선 대회 중 매일 경기를...
7분 만에 쓰러진 프랑스 수비수, 결국 유로 2020 조기 마감	교체 투입 7분 만에 부상으로 나온 뤼카 디뉴를 에서 더 이상 볼 수 없게 됐다. 프랑스 대표팀 일원으로 에 출전한 디뉴는 23일 포르투갈과의 F조 최종전에서 후반 시작과 함께 뤼카 에르난데스와...
